"","ranking","title","desc","runtime","genre","rating","vote","director","actor","metascore","revenue"
"1",1,"Blade Runner 2049","A young blade runner's discovery of a long-buried secret leads him to track down former blade runner Rick Deckard, who's been missing for thirty years.",164,"Mystery",8.5,96638,"Denis Villeneuve","Harrison Ford",81,0
"2",2,"Star Wars: The Last Jedi",NA,150,"Action",NA,NA,"Rian Johnson","Daisy Ridley",NA,0
"3",3,"It","A group of bullied kids band together when a shapeshifting demon, taking the appearance of a clown, begins hunting children.",135,"Drama",7.8,150850,"Andy Muschietti","Bill Skarsg<U+00E5>rd",70,0
"4",4,"Justice League",NA,NA,"Action",NA,NA,"Zack Snyder","Ben Affleck",NA,0
"5",5,"Kingsman: The Golden Circle","When their headquarters are destroyed and the world is held hostage, the Kingsman's journey leads them to the discovery of an allied spy organization in the US. These two elite secret organizations must band together to defeat a common enemy.",141,"Action",7.2,58341,"Matthew Vaughn","Taron Egerton",44,0
"6",6,"Professor Marston and the Wonder Women","The story of psychologist William Moulton Marston, the polyamorous relationship between his wife and his mistress, the creation of his beloved comic book character Wonder Woman, and the controversy the comic generated.",108,"Drama",6.9,723,"Angela Robinson","Luke Evans",68,0
"7",7,"The Dark Tower","The last Gunslinger, Roland Deschain, has been locked in an eternal battle with Walter O'Dim, also known as the Man in Black, determined to prevent him from toppling the Dark Tower, which holds the universe together. With the fate of the worlds at stake, good and evil will collide in the ultimate battle as only Roland can defend the Tower from the Man in Black.",95,"Action",5.8,40564,"Nikolaj Arcel","Idris Elba",34,41.67
"8",8,"Thor: Ragnarok","Imprisoned, the mighty Thor finds himself in a lethal gladiatorial contest against the Hulk, his former ally. Thor must fight for survival and race against time to prevent the all-powerful Hela from destroying his home and the Asgardian civilization.",130,"Action",7.3,264,"Taika Waititi","Chris Hemsworth",NA,0
"9",9,"The Snowman","Detective Harry Hole investigates the disappearance of a woman whose pink scarf is found wrapped around an ominous-looking snowman.",119,"Crime",5.4,3628,"Tomas Alfredson","Michael Fassbender",34,0
"10",10,"Baby Driver","After being coerced into working for a crime boss, a young getaway driver finds himself taking part in a heist doomed to fail.",112,"Action",7.9,180164,"Edgar Wright","Ansel Elgort",86,101.69
"11",11,"Gerald's Game","While trying to spice up their marriage in their remote lake house, Jessie must fight to survive when her husband dies unexpectedly, leaving her handcuffed to their bed frame.",103,"Horror",6.8,19236,"Mike Flanagan","Carla Gugino",76,0
"12",12,"War for the Planet of the Apes","After the apes suffer unimaginable losses, Caesar wrestles with his darker instincts and begins his own mythic quest to avenge his kind.",140,"Action",7.7,95801,"Matt Reeves","Andy Serkis",82,140.96
"13",13,"Happy Death Day","A college student relives the day of her murder with both its unexceptional details and terrifying end until she discovers her killer's identity.",96,"Horror",6.6,3273,"Christopher Landon","Jessica Rothe",57,0
"14",14,"The Foreigner","A humble businessman with a buried past seeks justice when his daughter is killed in an act of terrorism. A cat-and-mouse conflict ensues with a government official, whose past may hold clues to the killers' identities.",114,"Action",7.4,4149,"Martin Campbell","Katie Leung",55,0
"15",15,"Wonder Woman","When a pilot crashes and tells of conflict in the outside world, Diana, an Amazonian warrior in training, leaves home to fight a war, discovering her full powers and true destiny.",141,"Action",7.6,299873,"Patty Jenkins","Gal Gadot",76,404
"16",16,"Spider-Man: Homecoming","Peter Parker balances his life as an ordinary high school student in Queens with his superhero alter-ego Spider-Man, and finds himself on the trail of a new menace prowling the skies of New York City.",133,"Action",7.7,199687,"Jon Watts","Tom Holland",73,314.06
"17",17,"The Mountain Between Us","Stranded after a tragic plane crash, two strangers must forge a connection to survive the extreme elements of a remote snow covered mountain. When they realize help is not coming, they embark on a perilous journey across the wilderness.",112,"Action",6.2,2686,"Hany Abu-Assad","Idris Elba",48,0
"18",18,"American Made","The story of Barry Seal, an American pilot who became a drug-runner for the CIA in the 1980s in a clandestine operation that would be exposed as the Iran-Contra Affair.",115,"Action",7.3,25118,"Doug Liman","Tom Cruise",65,268.01
"19",19,"Pirates of the Caribbean: Dead Men Tell No Tales","Captain Jack Sparrow searches for the trident of Poseidon while being pursued by an undead sea captain and his crew.",129,"Action",6.8,142628,"Joachim R<U+00F8>nning","Johnny Depp",39,171.83
"20",20,"Wind River","A veteran tracker with the Fish and Wildlife Service helps to investigate the murder of a young Native American woman, and uses the case as a means of seeking redemption for an earlier act of irresponsibility which ended in tragedy.",107,"Crime",7.9,32162,"Taylor Sheridan","Kelsey Asbille",73,4.09
"21",21,"Mother!","A couple's relationship is tested when uninvited guests arrive at their home, disrupting their tranquil existence.",121,"Drama",7.1,35916,"Darren Aronofsky","Jennifer Lawrence",74,0
"22",22,"The Babysitter","The events of one evening take an unexpected turn for the worst for a young boy trying to spy on his babysitter.",85,"Comedy",6.5,5940,"McG","Judah Lewis",NA,0
"23",23,"Jigsaw",NA,91,"Crime",NA,NA,"Michael Spierig","Matt Passmore",NA,0
"24",24,"Geostorm","When the network of satellites designed to control the global climate start to attack Earth, it's a race against the clock to uncover the real threat before a worldwide geostorm wipes out everything and everyone.",109,"Action",7,1127,"Dean Devlin","Abbie Cornish",NA,0
"25",25,"Cult of Chucky","Chucky returns to terrorize his human victim, Nica. Meanwhile, the killer doll has some scores to settle with his old enemies, with the help of his former wife.",91,"Horror",5.3,7078,"Don Mancini","Allison Dawn Doiron",NA,0
"26",26,"American Assassin","After the death of his girlfriend at the hands of Islamic terrorists, Mitch Rapp is drawn into the world of counter-terrorism, mentored by tough-as-nails former U.S. Navy SEAL Stan Hurley.",112,"Action",6.5,11178,"Michael Cuesta","Dylan O'Brien",45,26.19
"27",27,"Transformers: The Last Knight","Autobots and Decepticons are at war, with humans on the sidelines. Optimus Prime is gone. The key to saving our future lies buried in the secrets of the past, in the hidden history of Transformers on Earth.",149,"Action",5.2,69293,"Michael Bay","Mark Wahlberg",28,130.12
"28",28,"The Emoji Movie","Gene, a multi-expressional emoji, sets out on a journey to become a normal emoji.",86,"Animation",2.4,23924,"Tony Leondis","T.J. Miller",12,85.19
"29",29,"Flatliners","Five medical students, obsessed by what lies beyond the confines of life, embark on a daring experiment: by stopping their hearts for short periods, each triggers a near-death experience - giving them a firsthand account of the afterlife.",110,"Drama",4.9,3585,"Niels Arden Oplev","Ellen Page",27,0
